"","Index","Number of steady states","Prod_of_AHR","Prod_of_NFIC","Prod_of_FOS","Prod_of_KLF4","Prod_of_FOXF1","Prod_of_JUN","Prod_of_SMAD3","Prod_of_MITF","Prod_of_SMAD4","Prod_of_MAFB","Prod_of_NR3C1","Prod_of_NR2F1","Prod_of_STAT5A","Prod_of_TBX3","Prod_of_TFE3","Prod_of_ETV5","Prod_of_TFAP2A","Deg_of_AHR","Deg_of_NFIC","Deg_of_FOS","Deg_of_KLF4","Deg_of_FOXF1","Deg_of_JUN","Deg_of_SMAD3","Deg_of_MITF","Deg_of_SMAD4","Deg_of_MAFB","Deg_of_NR3C1","Deg_of_NR2F1","Deg_of_STAT5A","Deg_of_TBX3","Deg_of_TFE3","Deg_of_ETV5","Deg_of_TFAP2A","Trd_of_AHRToAHR","Num_of_AHRToAHR","Inh_of_AHRToAHR","Trd_of_NFICToAHR","Num_of_NFICToAHR","Act_of_NFICToAHR","Trd_of_FOSToAHR","Num_of_FOSToAHR","Inh_of_FOSToAHR","Trd_of_NR3C1ToNFIC","Num_of_NR3C1ToNFIC","Act_of_NR3C1ToNFIC","Trd_of_MITFToNFIC","Num_of_MITFToNFIC","Inh_of_MITFToNFIC","Trd_of_AHRToFOS","Num_of_AHRToFOS","Inh_of_AHRToFOS","Trd_of_NR3C1ToFOS","Num_of_NR3C1ToFOS","Inh_of_NR3C1ToFOS","Trd_of_SMAD3ToFOS","Num_of_SMAD3ToFOS","Act_of_SMAD3ToFOS","Trd_of_NFICToFOS","Num_of_NFICToFOS","Inh_of_NFICToFOS","Trd_of_MITFToFOS","Num_of_MITFToFOS","Act_of_MITFToFOS","Trd_of_SMAD4ToFOS","Num_of_SMAD4ToFOS","Act_of_SMAD4ToFOS","Trd_of_FOSToFOS","Num_of_FOSToFOS","Inh_of_FOSToFOS","Trd_of_AHRToKLF4","Num_of_AHRToKLF4","Act_of_AHRToKLF4","Trd_of_JUNToKLF4","Num_of_JUNToKLF4","Act_of_JUNToKLF4","Trd_of_NR3C1ToKLF4","Num_of_NR3C1ToKLF4","Act_of_NR3C1ToKLF4","Trd_of_SMAD3ToKLF4","Num_of_SMAD3ToKLF4","Act_of_SMAD3ToKLF4","Trd_of_TBX3ToKLF4","Num_of_TBX3ToKLF4","Act_of_TBX3ToKLF4","Trd_of_MITFToKLF4","Num_of_MITFToKLF4","Inh_of_MITFToKLF4","Trd_of_KLF4ToFOXF1","Num_of_KLF4ToFOXF1","Act_of_KLF4ToFOXF1","Trd_of_JUNToJUN","Num_of_JUNToJUN","Act_of_JUNToJUN","Trd_of_SMAD3ToJUN","Num_of_SMAD3ToJUN","Act_of_SMAD3ToJUN","Trd_of_KLF4ToJUN","Num_of_KLF4ToJUN","Act_of_KLF4ToJUN","Trd_of_MITFToJUN","Num_of_MITFToJUN","Inh_of_MITFToJUN","Trd_of_SMAD4ToJUN","Num_of_SMAD4ToJUN","Act_of_SMAD4ToJUN","Trd_of_AHRToSMAD3","Num_of_AHRToSMAD3","Act_of_AHRToSMAD3","Trd_of_JUNToSMAD3","Num_of_JUNToSMAD3","Act_of_JUNToSMAD3","Trd_of_NR3C1ToSMAD3","Num_of_NR3C1ToSMAD3","Act_of_NR3C1ToSMAD3","Trd_of_NFICToSMAD3","Num_of_NFICToSMAD3","Act_of_NFICToSMAD3","Trd_of_FOSToSMAD3","Num_of_FOSToSMAD3","Inh_of_FOSToSMAD3","Trd_of_AHRToMITF","Num_of_AHRToMITF","Inh_of_AHRToMITF","Trd_of_JUNToMITF","Num_of_JUNToMITF","Inh_of_JUNToMITF","Trd_of_NR3C1ToMITF","Num_of_NR3C1ToMITF","Act_of_NR3C1ToMITF","Trd_of_SMAD3ToMITF","Num_of_SMAD3ToMITF","Inh_of_SMAD3ToMITF","Trd_of_KLF4ToMITF","Num_of_KLF4ToMITF","Inh_of_KLF4ToMITF","Trd_of_MITFToMITF","Num_of_MITFToMITF","Act_of_MITFToMITF","Trd_of_SMAD4ToMITF","Num_of_SMAD4ToMITF","Act_of_SMAD4ToMITF","Trd_of_NR3C1ToSMAD4","Num_of_NR3C1ToSMAD4","Inh_of_NR3C1ToSMAD4","Trd_of_MAFBToMAFB","Num_of_MAFBToMAFB","Act_of_MAFBToMAFB","Trd_of_NR3C1ToMAFB","Num_of_NR3C1ToMAFB","Act_of_NR3C1ToMAFB","Trd_of_AHRToNR3C1","Num_of_AHRToNR3C1","Act_of_AHRToNR3C1","Trd_of_JUNToNR3C1","Num_of_JUNToNR3C1","Act_of_JUNToNR3C1","Trd_of_SMAD3ToNR3C1","Num_of_SMAD3ToNR3C1","Act_of_SMAD3ToNR3C1","Trd_of_NFICToNR3C1","Num_of_NFICToNR3C1","Act_of_NFICToNR3C1","Trd_of_FOSToNR3C1","Num_of_FOSToNR3C1","Inh_of_FOSToNR3C1","Trd_of_NR3C1ToNR2F1","Num_of_NR3C1ToNR2F1","Act_of_NR3C1ToNR2F1","Trd_of_KLF4ToNR2F1","Num_of_KLF4ToNR2F1","Act_of_KLF4ToNR2F1","Trd_of_NFICToNR2F1","Num_of_NFICToNR2F1","Act_of_NFICToNR2F1","Trd_of_FOSToNR2F1","Num_of_FOSToNR2F1","Inh_of_FOSToNR2F1","Trd_of_STAT5AToSTAT5A","Num_of_STAT5AToSTAT5A","Act_of_STAT5AToSTAT5A","Trd_of_MITFToSTAT5A","Num_of_MITFToSTAT5A","Act_of_MITFToSTAT5A","Trd_of_SMAD3ToTBX3","Num_of_SMAD3ToTBX3","Act_of_SMAD3ToTBX3","Trd_of_TBX3ToTBX3","Num_of_TBX3ToTBX3","Act_of_TBX3ToTBX3","Trd_of_KLF4ToTBX3","Num_of_KLF4ToTBX3","Act_of_KLF4ToTBX3","Trd_of_NFICToTBX3","Num_of_NFICToTBX3","Act_of_NFICToTBX3","Trd_of_JUNToTFE3","Num_of_JUNToTFE3","Act_of_JUNToTFE3","Trd_of_TFE3ToTFE3","Num_of_TFE3ToTFE3","Inh_of_TFE3ToTFE3","Trd_of_NFICToTFE3","Num_of_NFICToTFE3","Act_of_NFICToTFE3","Trd_of_MITFToTFE3","Num_of_MITFToTFE3","Inh_of_MITFToTFE3","Trd_of_FOSToTFE3","Num_of_FOSToTFE3","Inh_of_FOSToTFE3","Trd_of_NR3C1ToETV5","Num_of_NR3C1ToETV5","Inh_of_NR3C1ToETV5","Trd_of_ETV5ToETV5","Num_of_ETV5ToETV5","Act_of_ETV5ToETV5","Trd_of_MITFToETV5","Num_of_MITFToETV5","Act_of_MITFToETV5","Trd_of_NR2F1ToTFAP2A","Num_of_NR2F1ToTFAP2A","Act_of_NR2F1ToTFAP2A","Trd_of_MITFToTFAP2A","Num_of_MITFToTFAP2A","Act_of_MITFToTFAP2A"
"6882",6882,4,93.139032,39.197825,8805.645314,178.466255,53.17598,319.727313,517.098844,1485.752537,2.628025,51.153363,943.789236,54.296809,5.65146,12.708558,380.032046,10.949693,39.283065,0.574826,0.351898,0.415503,0.127029,0.240696,0.344585,0.731002,0.885156,0.855055,0.234778,0.54161,0.333137,0.732826,0.962571,0.439207,0.225951,0.28375,4.697807,5,0.021019,6.173115,6,73.636408,0.622704,6,0.012226,2.275066,4,29.932166,1.686698,1,0.012063,0.04847,5,0.025569,3.788313,6,0.034511,4.027456,5,52.36133,1.333509,1,0.014933,3.555714,4,8.658728,12.642256,6,7.490485,2.609905,4,0.011868,0.368145,2,62.379988,6.630693,1,80.438922,4.991315,6,96.7943,3.374182,5,24.079401,0.824864,3,59.729874,2.947426,4,0.020892,1.262163,3,43.786295,1.986881,1,32.757299,5.394782,4,90.558984,0.86305,4,13.484275,1.954171,6,0.030246,34.674973,5,68.802675,4.565976,5,48.03492,0.32905,3,27.626054,5.58141,4,65.594558,13.26612,6,42.10008,1.01475,2,0.034004,2.788747,5,0.013295,0.579504,2,0.05346,2.570968,2,63.196213,3.053535,6,0.088329,1.454938,4,0.586913,0.221917,2,21.400392,46.799801,1,37.165068,3.974382,4,0.010509,4.489886,4,10.832718,2.635161,6,89.541564,2.743707,4,13.666041,4.250413,2,93.843619,6.636581,3,47.02367,7.454534,4,71.444178,1.657411,6,0.183656,4.071219,3,84.259079,2.493068,1,32.340283,4.879533,3,5.554693,0.382782,5,0.03102,12.829651,5,85.582196,0.766418,5,96.776901,2.279774,3,19.189996,1.045955,3,65.436442,0.969406,1,97.465311,7.709456,1,48.005438,6.592083,3,5.296135,3.43403,1,0.298051,10.286059,3,13.090827,2.083839,4,0.018866,2.177311,4,0.015253,0.553499,1,0.010691,2.270441,1,52.496749,2.296039,1,3.541324,0.041747,1,7.304254,1.987975,3,48.260824
"7345",7345,4,49.808285,10.513306,9482.609477,78.300347,18.078766,872.709032,306.925664,6142.093879,56.673849,73.373951,297.232512,98.385109,35.049676,14.093252,382.705596,52.579962,72.733515,0.480689,0.509319,0.159166,0.865369,0.69922,0.508344,0.759304,0.32593,0.20624,0.534604,0.39485,0.402878,0.361025,0.602803,0.345388,0.69541,0.888382,3.759184,5,0.010341,16.059647,4,4.692633,3.484673,4,0.033371,5.927295,3,71.880645,0.377254,3,0.013283,4.365452,5,0.013163,0.21886,5,0.015434,0.762058,3,48.971616,7.614992,1,0.011254,1.910398,2,78.86621,7.41169,3,8.075012,3.331567,4,0.010677,4.550698,6,90.667788,5.372016,2,19.809977,5.485241,4,5.890437,0.894365,3,48.129298,0.206413,5,71.405773,1.313464,3,0.020429,1.516908,1,4.020256,4.828029,2,59.685661,4.632724,5,10.331075,2.566141,6,25.83984,2.509024,5,0.067708,36.825467,5,2.725065,4.637024,4,60.605298,2.121136,4,81.933375,0.684634,1,48.578284,17.423396,1,28.750189,3.57688,6,0.113859,0.788769,4,0.021736,1.830269,1,0.021811,4.013982,4,77.083931,1.187315,2,0.038691,0.042033,4,0.015799,2.670661,5,95.532425,30.298919,6,49.787628,1.221684,5,0.020871,7.715381,4,69.287538,0.818072,2,62.112467,1.121784,2,16.131666,0.118517,1,1.399816,1.255788,3,79.254386,16.062447,4,37.95842,2.340408,4,0.176725,6.574097,4,30.434511,1.994313,3,18.689467,12.030735,4,41.676248,1.619362,2,0.107317,2.938578,5,13.900865,0.429888,5,32.520311,5.182806,6,54.931788,0.205115,6,23.936496,2.519795,2,50.231412,0.356016,5,71.405762,5.544855,1,88.158365,1.522428,5,0.022741,0.208586,1,3.88177,1.080649,4,0.167828,2.317123,6,0.010169,3.468688,4,0.019523,5.601176,1,30.586854,0.424659,4,31.975647,0.329441,2,99.818543,1.120191,4,16.160339
"7360",7360,4,87.090761,85.545335,1158.578962,26.408143,65.524879,127.430422,160.971181,803.737417,68.814001,80.698327,537.297861,33.070788,53.72958,7.795685,223.796379,81.596946,49.901178,0.682857,0.565254,0.557584,0.50538,0.211146,0.797869,0.292967,0.513303,0.128383,0.280285,0.882062,0.815774,0.251572,0.234793,0.29734,0.365398,0.794699,2.818841,3,0.02673,16.254985,4,6.453568,3.301046,6,0.017743,4.209071,3,48.568495,2.266165,6,0.025919,2.131929,1,0.016425,2.066035,6,0.013685,6.125117,5,80.630924,2.02252,2,0.03903,1.82814,4,33.881242,51.386342,4,57.97232,3.72407,1,0.018142,1.46481,2,13.811142,1.55663,5,7.205803,1.191274,2,89.483276,1.57218,3,23.806843,2.185668,5,79.812859,2.25701,3,0.019586,1.554648,4,37.728767,4.917374,1,52.505258,0.574898,2,74.714272,0.271251,3,68.513507,2.391995,4,0.055197,23.357618,3,55.283039,4.453129,2,84.832348,1.260472,1,91.30225,6.631513,1,83.434063,6.903123,3,53.771417,3.394826,5,0.01186,1.104404,5,0.034279,1.303919,2,0.03392,4.605112,6,19.261425,2.016979,1,0.130683,1.120938,6,0.011016,1.783071,2,45.347057,30.133465,4,36.148724,3.874659,5,0.020241,21.83796,2,67.4761,2.048687,6,77.359778,3.438035,6,24.701655,6.337478,1,96.909187,2.480935,1,46.369284,2.819273,5,67.55431,1.878109,4,0.012235,2.119599,3,73.574857,1.390565,3,14.743848,9.513842,2,30.335483,3.416708,4,0.010715,0.507862,5,36.137111,0.698848,6,24.124775,4.907447,2,53.862339,2.68077,2,37.373711,1.126354,1,53.687883,17.474856,1,68.379627,3.041324,6,56.645248,1.484413,1,0.038617,3.729472,1,69.465982,2.192505,5,0.012224,3.180664,4,0.091255,1.382126,1,0.625727,2.360153,6,37.906049,2.144649,2,90.414789,1.153464,1,36.987494,2.860436,5,77.706851
"7766",7766,4,94.655762,14.425181,9979.305313,487.06754,2.07575,744.532819,486.068532,1398.774665,66.684503,38.784218,589.718939,50.519315,48.177062,92.944753,746.313425,21.328861,27.637358,0.369149,0.622654,0.227348,0.426735,0.383529,0.804436,0.898282,0.258695,0.276396,0.571452,0.315775,0.208337,0.866961,0.473286,0.613478,0.201738,0.714241,2.954806,1,0.0527,3.17365,1,30.095466,3.04249,3,0.010246,5.256166,2,12.169948,1.535689,5,0.020823,0.50492,1,0.283955,6.487917,3,0.025951,0.079359,4,59.05646,1.14564,2,0.017662,2.187481,2,54.75674,32.885006,3,37.862073,3.616982,3,0.12487,1.586996,4,40.146449,6.088905,5,49.730145,1.366131,3,74.206037,2.263618,4,80.826716,2.508033,3,72.356731,1.621029,3,0.014779,0.458109,5,55.799693,6.741249,4,77.040414,6.684313,6,55.006701,2.490351,3,24.741024,3.139764,1,0.010493,1.271397,3,6.250915,0.565023,5,11.307207,4.338014,4,38.281303,7.156455,2,68.765346,9.627045,3,48.255311,0.877256,5,0.015969,3.297911,1,0.025756,5.956552,3,0.013064,1.748129,3,45.598037,0.944964,4,0.014981,2.332386,6,0.014322,2.636237,6,85.438914,5.835396,2,31.979156,4.723323,1,0.046798,2.26063,5,40.842238,5.869463,2,81.044645,0.412448,3,4.55413,0.629411,5,14.573121,0.308387,5,72.346945,11.923664,4,90.357309,2.307899,4,0.025882,5.717246,4,95.075464,0.87434,6,71.718713,5.282336,3,49.448946,3.619,2,0.011607,18.085577,1,10.613832,0.563027,4,93.729425,6.364853,3,14.800816,1.95731,6,52.978892,1.041277,4,77.951515,10.043105,3,73.201501,0.911265,3,14.120426,0.849155,6,0.010429,10.934387,1,69.800193,2.604524,3,0.018448,1.743731,1,0.039396,6.554255,2,0.405783,1.201165,6,4.687499,0.058074,3,81.303607,1.76215,1,64.87462,1.066089,1,80.148485
"7897",7897,4,41.258607,67.162804,9113.529077,180.282235,18.208686,507.749334,36.260327,6103.512685,5.719153,18.551407,824.511788,22.449958,10.541063,72.343331,323.506027,5.293054,31.879365,0.236478,0.844612,0.831378,0.417623,0.389091,0.686354,0.390345,0.118107,0.9587,0.27421,0.348468,0.159533,0.47228,0.915174,0.329076,0.146375,0.228975,3.478209,3,0.017335,15.165652,1,85.066794,0.15158,5,0.116926,3.048266,3,40.095716,1.81436,3,0.018528,2.898556,5,0.015862,3.325684,2,0.08957,5.959648,5,20.335983,3.948246,5,0.020316,3.498894,3,80.893049,33.377441,2,64.850239,2.883094,4,0.061661,4.116882,3,90.631838,3.216227,6,43.714576,7.44112,2,47.960096,4.701495,5,63.916764,0.745056,1,73.991142,2.660133,6,0.02115,2.019992,4,98.336375,4.607307,1,67.47887,3.681474,2,94.51895,1.715261,2,4.995185,2.078482,2,0.05231,4.467555,6,16.757788,0.183837,1,84.408857,3.957213,4,96.681892,6.800079,6,34.545758,13.992661,1,33.630658,1.087442,1,0.111097,1.79515,5,0.014851,6.404409,5,0.022308,5.068639,5,59.506205,5.456104,5,0.015637,2.014522,3,0.018072,2.75497,6,57.954763,25.503718,1,69.451768,0.338139,1,0.01301,12.02502,1,75.084412,4.847643,2,56.925192,2.306271,6,11.173763,1.198677,4,11.797936,0.443939,6,63.840527,13.902426,1,29.676148,2.209478,3,0.037088,0.930519,6,13.064723,1.812016,1,34.135257,17.191581,5,73.332333,3.360616,1,0.161804,13.391232,2,90.897373,3.113406,1,55.935104,6.390654,4,60.596179,0.898721,4,19.349251,0.083873,4,42.051707,6.401406,3,35.326504,5.140786,2,42.218277,4.505762,3,0.023601,13.279973,2,33.998143,2.137076,5,0.010142,3.199719,3,0.019426,6.380629,3,0.015469,4.983936,4,7.767042,0.279983,1,99.060617,1.396555,3,8.32134,3.096351,5,76.967177
"8305",8305,4,41.404652,75.360461,4059.197787,720.285287,85.965892,426.63815,115.724834,3035.797891,20.381158,24.905583,123.551335,87.325802,4.384883,66.705378,81.344029,24.544992,87.33018,0.102234,0.548626,0.12729,0.46976,0.442423,0.744111,0.981456,0.102461,0.983805,0.803781,0.595314,0.625156,0.609798,0.36684,0.759365,0.612142,0.547292,0.393214,4,0.154819,0.993786,6,62.031632,1.66687,1,0.032071,3.466684,1,91.190358,3.347711,1,0.012865,4.087659,3,0.045456,2.029889,1,0.020084,2.856987,6,43.415603,7.684818,4,0.029405,1.545213,6,67.351617,43.879676,2,91.031135,0.825124,5,0.01228,1.124739,4,20.11045,3.83808,4,44.831997,5.366818,2,70.86472,0.190101,1,75.830359,1.180391,6,37.627958,0.432481,6,0.012184,1.242565,2,27.225825,1.721521,4,37.266531,5.096414,1,80.446302,2.349809,5,1.982981,3.569664,6,0.026404,16.404498,5,90.908386,2.81563,1,65.638382,6.341726,3,36.78028,0.46175,3,94.953652,7.660355,2,85.834862,2.955761,3,0.013416,2.507562,4,0.048448,3.128494,5,0.060283,2.77178,6,83.331797,5.242502,3,0.018971,1.506139,5,0.033853,2.633795,5,7.428029,23.538189,1,96.424814,3.035191,6,0.100248,17.472938,4,84.523434,3.328139,5,63.67595,2.79926,2,89.427117,1.341419,4,63.616079,5.71277,6,42.20295,16.16875,6,88.415222,0.117761,6,0.034826,7.447171,2,12.417946,2.34406,1,82.585419,2.054811,2,50.557934,1.802344,4,0.024038,7.464765,4,29.878189,0.387647,1,10.725636,2.434818,6,41.783461,1.439503,5,30.415122,2.447589,1,42.799648,6.18787,3,55.167535,4.393804,3,83.078622,1.435578,6,0.130788,7.165915,2,67.774004,2.670379,4,0.012566,2.149663,5,0.09513,2.635225,2,0.013817,2.530719,3,94.473089,1.859706,3,50.722073,0.860103,3,26.046877,0.398727,1,54.719633
"8580",8580,4,30.696832,95.659179,6039.166771,297.397768,55.189551,370.038092,195.258618,6920.515148,8.941183,85.597652,426.687384,34.433942,8.658224,64.125815,439.758025,43.191937,76.500931,0.192968,0.371578,0.575694,0.171211,0.386035,0.673661,0.755796,0.856088,0.521633,0.940652,0.987457,0.574796,0.640726,0.710394,0.864943,0.891775,0.507406,4.66905,3,0.01034,5.793233,2,41.839713,2.12229,4,0.019919,3.138796,4,4.234452,3.321525,5,0.011326,4.7015,6,0.118123,3.468822,6,0.016855,0.514143,3,9.270842,15.221938,6,0.014109,0.797541,2,69.935991,53.233854,4,87.114128,2.021835,6,0.013301,2.677896,1,64.298821,0.576232,4,72.598912,7.258628,6,55.377119,4.300793,5,56.465816,2.241898,5,97.866978,1.675335,6,0.1026,2.508433,3,69.702227,0.412983,4,3.163147,3.632642,2,69.400052,2.445048,1,69.451129,2.73013,5,0.010878,11.133474,3,49.259631,2.263299,2,12.049353,3.604753,1,19.029681,3.176736,6,30.905654,6.916144,3,70.576298,2.478687,4,0.05295,3.617061,6,0.010048,6.155244,6,0.041198,3.248554,1,70.944943,0.480478,3,0.013676,0.58543,5,0.033946,3.226677,5,15.792328,19.197574,5,12.564501,0.21515,4,0.101031,17.214201,1,95.066314,0.674558,2,27.25708,4.277822,6,29.980114,2.649131,4,76.706979,6.215986,2,11.466732,1.881165,1,6.036393,2.254122,6,0.03709,4.18121,5,30.560216,1.043583,6,12.52257,11.221017,5,74.22174,0.15487,3,0.034519,3.624754,2,35.110609,1.0265,1,8.749923,3.19991,2,95.107299,1.562233,1,77.464775,1.916505,3,58.739991,15.119392,1,54.606606,0.686759,5,15.724906,1.127318,1,0.016813,15.069193,1,88.337863,3.522971,2,0.0332,1.477437,3,0.032142,2.319087,3,0.010468,4.411752,1,62.895512,1.499324,6,86.702989,1.766883,4,70.67698,3.5612,4,53.710711
"8974",8974,4,93.6895,50.52629,5651.371672,511.0033,35.650054,938.106715,611.587448,553.702063,68.817949,70.668215,204.419258,95.201158,26.126541,2.497874,630.744209,38.606054,46.485938,0.100225,0.644796,0.31504,0.888263,0.43809,0.945313,0.880433,0.553277,0.676071,0.823448,0.65127,0.758676,0.136463,0.156938,0.328255,0.579659,0.325127,3.870738,2,0.022501,14.711363,1,86.687666,3.773894,1,0.05969,0.883259,5,35.006106,3.561487,1,0.033047,1.096538,5,0.218059,0.400781,1,0.016782,0.730286,1,1.633318,15.684548,5,0.025539,2.287811,4,76.089394,40.491779,3,40.724286,0.776762,4,0.010997,0.236731,3,4.218954,5.771716,6,44.142536,4.465139,1,58.951343,6.850005,4,14.329049,1.128318,4,46.822299,3.575718,5,0.018952,2.241658,4,84.44002,1.189305,3,38.984591,6.680065,2,27.175926,2.440685,5,94.198974,3.339383,1,0.010964,29.943097,2,25.16589,0.967553,2,36.225591,2.614192,4,69.269959,0.843449,6,74.372524,9.918959,2,7.183161,1.211202,6,0.010842,4.727342,6,0.02804,3.576444,1,0.035526,0.911565,6,5.895977,0.810257,4,0.023769,1.845317,6,0.023203,1.787498,5,26.716791,50.045277,3,76.179894,0.740149,4,0.033849,21.473433,3,10.070166,2.725328,3,82.971939,1.534581,4,26.65958,1.306907,1,56.122814,3.421059,2,99.790437,17.646897,4,3.15273,2.522626,1,0.052508,1.017784,4,15.718777,2.044381,4,94.909617,0.715178,2,58.976987,3.943109,5,0.022866,6.060983,5,38.974426,2.042225,4,76.931307,0.660236,4,44.634952,1.126478,5,43.033057,1.377773,3,46.452588,5.269294,3,56.538505,1.535322,6,61.841743,0.08153,5,0.012853,6.97859,2,29.337146,0.728484,5,0.055753,1.03901,3,0.027325,5.114535,3,0.037149,3.373013,2,85.81301,3.491567,3,85.320094,0.320774,5,44.690246,1.066349,2,86.950117
"9437",9437,4,31.292212,97.804957,6113.943944,694.358362,98.220393,808.397892,376.709877,482.575736,95.860933,59.686405,771.115593,51.137031,40.345922,37.02141,190.815811,45.152228,38.240002,0.654099,0.523179,0.765392,0.428038,0.242062,0.558633,0.415698,0.869618,0.2926,0.929406,0.266822,0.279865,0.203557,0.476528,0.265494,0.252366,0.281472,0.726323,5,0.018612,0.585879,2,9.643549,1.535174,5,0.013456,6.819592,3,98.969464,2.115057,5,0.029163,1.892749,5,0.010084,4.13854,5,0.015069,3.858668,1,66.344468,17.998092,3,0.056332,0.328226,4,85.387752,23.411799,2,39.938364,0.155263,5,0.070332,2.684067,5,14.843283,0.166507,1,59.451222,2.970044,2,45.21277,5.133437,6,27.672497,0.029572,2,37.515703,1.14014,6,0.02236,1.995883,3,23.838985,2.104482,4,51.662555,5.05131,6,38.442434,1.63322,6,6.454367,2.09527,3,0.01013,7.932903,3,87.908228,3.155455,2,42.276481,0.177217,5,15.727257,6.054518,5,69.306378,11.331441,2,61.997069,0.820388,6,0.022439,4.701083,4,0.01732,0.474587,6,0.013403,0.849204,2,26.707868,4.862989,2,0.013161,2.091201,4,0.010671,3.352716,6,81.588859,39.120582,5,8.03047,1.21769,4,0.01518,1.368633,1,70.603673,0.15128,3,15.920098,0.121784,5,61.237956,4.161211,1,35.310457,3.205358,1,23.281489,9.24721,1,23.441827,1.829893,2,0.020499,4.765831,1,72.368544,1.059487,2,9.532714,17.634972,1,41.681832,2.095116,6,0.029203,7.762638,3,90.615326,0.774321,6,41.684593,6.257392,2,49.128915,0.198471,6,36.868669,0.730953,5,34.822832,11.310733,4,8.01595,2.507106,2,21.038161,3.148889,2,0.021523,2.159647,1,36.938895,0.359255,4,0.09027,2.97015,6,0.011875,2.148837,2,0.014668,6.059792,3,26.604149,3.479062,3,46.788511,0.906514,1,42.138287,3.63833,5,57.458686
"9764",9764,4,74.379195,47.700761,5851.713928,156.931901,35.325674,764.825782,462.142563,1794.752502,1.135009,54.375553,955.825097,84.063576,11.596952,20.033855,992.500884,77.153524,16.976492,0.736856,0.966265,0.198233,0.646424,0.913538,0.583236,0.589109,0.523462,0.370598,0.390309,0.505747,0.453806,0.790032,0.70081,0.272613,0.627589,0.549946,1.60356,6,0.017606,3.202071,2,77.760574,1.809624,6,0.034183,3.116816,1,45.370533,2.373479,4,0.015695,2.980083,4,0.011215,1.965594,3,0.022777,0.221211,1,83.783744,12.162249,6,0.01483,1.885983,5,6.368074,6.387954,4,12.924494,3.425879,1,0.019517,1.465403,2,64.066171,6.182495,1,55.290419,0.672162,3,61.904212,3.749216,5,42.696377,2.355855,3,74.14563,2.632995,3,0.014696,0.169928,2,33.709779,0.930544,2,68.224375,5.284678,4,22.18842,0.589486,3,82.981034,0.739324,2,0.015399,14.61024,4,94.182037,3.418924,2,28.915301,1.544121,2,90.86521,3.208923,4,51.133771,5.995928,3,98.032861,3.011606,3,0.059664,0.38867,5,0.046555,5.513967,6,0.062148,6.075961,5,34.647055,5.446842,3,0.014939,0.51127,3,0.031689,0.727236,4,97.190869,43.915759,2,27.119646,0.93108,6,0.11231,5.745877,2,5.439681,6.274858,6,29.27326,0.238141,6,52.718657,4.238535,1,13.752366,5.664417,6,69.819691,14.163994,4,69.929247,0.223178,2,0.021584,3.139994,6,76.289691,1.926681,3,60.754987,17.286597,5,68.784426,2.679325,3,0.199377,23.682288,1,47.098172,1.733485,2,46.002647,0.720282,4,1.875865,1.268396,2,42.10641,0.131801,3,61.059771,8.518694,2,7.579479,0.593024,4,70.319914,1.398411,1,0.013707,3.600782,5,90.979503,3.210083,3,0.045492,2.280561,1,0.037558,3.925389,2,0.06789,4.305343,2,8.391966,2.85473,3,41.156028,1.926625,3,62.208629,1.890828,2,77.328704
"9970",9970,4,31.047695,87.945392,5364.930619,787.437768,69.689873,948.427794,92.133341,6395.36183,8.035328,54.661707,686.665283,51.778559,20.403234,61.518139,809.691925,84.170978,92.712654,0.539022,0.915145,0.746337,0.839736,0.935522,0.186974,0.695957,0.170506,0.226983,0.944443,0.269923,0.2642,0.273529,0.74668,0.312102,0.473239,0.414104,1.620802,1,0.013648,8.118055,4,3.446421,2.985266,3,0.016565,0.79245,6,32.690593,2.51729,2,0.01231,1.238824,6,0.017778,3.444016,6,0.268225,1.773362,5,97.527835,16.168658,6,0.011532,3.586664,1,71.069504,42.059305,5,33.628129,0.8681,5,0.021742,0.609885,6,97.861223,0.846038,5,46.613817,6.793593,5,21.103313,0.133883,1,6.183536,0.935475,6,28.82326,0.43673,5,0.041988,1.920057,3,95.16296,4.446866,2,44.384669,2.694709,5,6.744902,2.544125,3,91.642221,2.522526,1,0.071541,43.253476,2,72.585773,3.678918,6,80.909673,4.548257,5,22.100303,2.282025,3,78.523829,14.03896,2,48.731769,3.486526,1,0.027818,1.344469,1,0.059598,6.548512,5,0.010388,3.04463,4,73.833559,3.472679,3,0.012467,2.080958,6,0.025787,1.759175,5,55.098989,51.766297,4,74.14048,4.428556,5,0.011914,1.594922,6,98.794953,6.817408,1,79.753381,4.748642,2,42.461361,5.424781,1,59.068346,5.878715,1,40.908445,7.867859,3,21.029937,3.277306,3,0.017217,3.346584,6,73.880205,1.212093,6,54.937159,0.533557,4,40.096964,0.672671,5,0.012915,11.729155,4,21.204501,2.152576,6,62.281818,2.472873,1,16.994294,0.330102,6,91.548745,0.977248,5,13.654521,12.030974,6,74.079489,5.212687,1,13.462204,3.516288,4,0.013314,5.529052,4,85.508194,0.702183,2,0.019377,3.469966,1,0.036098,7.395578,4,0.035362,3.556038,4,74.810229,1.499823,6,75.401011,1.746201,2,16.413079,0.062366,3,93.297948
