Index,Number of steady states,Number of initial conditions,AHR,NFIC,FOS,KLF4,FOXF1,JUN,SMAD3,MITF,SMAD4,MAFB,NR3C1,NR2F1,STAT5A,TBX3,TFE3,ETV5,TFAP2A,Cluster
2853,4,14,2.366833,5.929366,-8.109878,2.816735,4.563345,-3.952877,2.578157,-5.670518,0.428024,9.179771,3.246017,2.342991,-2.333792,6.939588,0.900809,-8.168687,-0.308766,4
2853,4,1,2.36683,5.928319,-8.103113,-3.739028,-1.072565,-6.609573,2.578122,-1.28573,0.428088,9.17977,3.245984,-4.189946,-1.574657,-4.186899,0.899989,-7.813098,-0.774857,3
3210,4,34,1.02912,0.871082,-9.090755,-7.722433,-3.278393,-7.830207,1.641387,9.906063,3.970162,6.569227,5.614987,-2.405395,6.890027,-6.260891,-8.166326,5.258522,1.176855,3
3210,4,58,2.703055,7.185108,-15.725277,10.139949,0.698679,6.277663,10.255437,-11.472029,3.935066,6.666186,10.925215,8.293643,-5.256512,6.819299,4.557533,-5.331592,-2.213446,4
3210,4,4,-0.85853,-3.60028,1.9703,-22.492237,-4.883038,-7.206323,-5.931662,5.510815,8.279256,-0.048781,-2.433289,-11.362398,6.889736,-15.640871,-11.666046,7.076139,-1.894442,2
3210,4,4,0.821245,0.697249,0.650427,-10.677467,-4.534198,0.756777,3.23387,7.991892,7.946331,5.662562,1.792835,-4.488688,6.890025,-6.704792,-6.528393,7.114697,-0.351925,1
3653,4,34,-3.803768,-5.102277,8.146099,-24.335256,0.012201,-12.722129,-16.306187,6.330359,8.175903,-1.776561,-15.512021,-18.085662,7.717471,-12.641335,-8.298742,5.133349,2.482322,2
3653,4,28,-1.47388,0.265443,2.169485,-18.477232,0.012201,-7.963933,-12.326876,-4.462468,8.175903,-1.776561,-13.417628,-15.858028,1.846945,-12.608051,-0.456076,-4.770038,-3.095484,1
3653,4,8,1.916508,6.272431,-3.546455,-1.932342,4.948688,-4.277924,5.345383,-12.111747,3.317512,7.024257,3.707306,1.333206,1.846923,-1.809465,2.861155,-7.411762,2.453226,3
3653,4,30,1.982115,6.408147,-7.511111,9.927683,6.215482,6.813593,11.884547,-22.570961,3.304183,7.068895,10.115196,5.612072,1.846923,7.979961,8.306472,-9.393678,3.118619,4
4211,4,25,0.013857,1.483306,-0.075325,-18.503153,1.148135,-10.079121,-7.136325,-4.982057,7.473092,-3.567451,-5.487934,-6.744856,2.350545,-13.479556,-1.91686,0.956995,-7.883615,1
4211,4,30,2.612588,7.836723,-11.228419,6.643821,5.509052,4.96669,8.483472,-18.835373,2.190993,7.424766,8.615028,4.506346,2.350545,5.942794,3.829907,-1.770084,-1.383274,4
4211,4,28,-5.445714,-1.566126,5.894143,-28.76107,1.148135,-15.627998,-13.285106,5.832039,7.473092,-3.567451,-14.452701,-13.392784,6.592629,-17.523998,-13.571006,6.898475,-1.309334,2
4211,4,17,2.612599,7.835174,-11.281071,-5.925087,1.148135,-7.308553,6.22125,-12.695409,2.190994,7.424762,5.454708,0.821914,2.350545,-6.41084,1.448814,-1.769725,-1.384162,3
4824,4,24,-4.060783,-1.96859,6.19137,-22.322894,0.061836,-12.781574,-17.386366,5.669925,4.960563,-1.404034,-15.697629,-11.688237,7.30949,-16.216103,-4.283016,6.128579,1.837451,2
4824,4,25,3.695465,7.970996,-12.240515,-4.673557,1.177684,-4.129483,8.009685,-8.647752,-0.688363,6.54403,3.389487,2.112062,-4.55111,-3.141839,1.936588,-6.458507,-1.025585,3
4824,4,35,2.693554,1.96573,-2.882448,-15.954504,0.062518,-6.369704,-3.982207,-4.941808,4.960103,-1.404034,-6.339159,-5.467559,-4.5509,-14.090838,1.084924,-4.796906,-4.803156,1
4824,4,16,3.703325,8.144506,-12.634091,5.165614,5.848881,4.206498,12.019917,-15.28708,-1.030061,6.691298,9.515791,8.011249,-4.55132,6.622479,4.202841,-8.769785,-1.020013,4
4838,4,65,4.64039,5.477897,-10.368432,10.506988,6.209754,6.428036,10.995135,-21.682092,1.7283,7.271125,7.196482,6.28029,-4.733526,5.981958,4.585679,-12.178838,3.178413,4
4838,4,30,-3.512476,-5.885672,7.076646,-26.392408,0.157555,-8.606971,-11.792401,5.332911,7.448665,-2.798436,-11.949996,-15.952805,7.346458,-15.926845,-12.153124,6.626708,4.402764,2
4838,4,3,4.638465,5.420777,-10.28693,-1.45335,1.428451,-2.534595,7.107566,-10.205686,1.728341,7.180809,5.891794,3.26037,-4.733526,-3.002812,2.336144,-12.178192,2.963491,3
4838,4,2,0.279204,1.980895,2.400758,-2.300817,0.47601,4.769015,1.469121,-3.861002,7.447355,-0.658494,-1.813565,-8.634126,-4.724637,-9.683827,3.020367,-6.392191,-0.6396,1
4982,4,8,1.05352,2.917332,3.380363,-14.559576,4.33452,-9.95471,-3.155197,9.590079,7.627708,-1.287607,-0.304777,-7.053406,-0.366505,-9.646687,-5.150687,5.944299,1.674428,1
4982,4,83,1.688374,7.595703,-8.400121,10.71009,6.453686,8.26335,11.00366,-10.726424,3.000529,1.726311,10.784109,6.899252,-6.897785,5.484152,3.364809,-8.312492,0.256532,4
4982,4,7,1.05352,2.917332,3.380363,-14.559576,4.33452,-9.95471,-3.155197,9.590079,7.627708,-1.287607,-0.304777,-7.053406,6.191919,-9.646687,-5.150687,5.944299,1.674428,2
4982,4,2,1.565214,3.232463,1.127208,-0.32576,5.031813,-9.070601,3.00436,8.811511,3.00844,1.48541,5.111836,0.40091,6.191919,2.876924,-0.535659,2.218108,5.591767,3
5147,4,13,-4.001389,-0.497124,1.902916,-27.687589,-1.669621,-15.223396,-7.134933,4.809694,3.811057,-6.209672,-15.645138,-7.674757,6.97939,-12.199348,-3.687647,4.311294,0.254736,2
5147,4,38,5.976023,7.76235,-17.01011,-4.186888,-1.669442,-7.907312,7.787677,-10.035568,1.642623,4.872052,2.948346,2.954184,-3.784187,-5.832089,1.714648,-9.089492,0.399152,3
5147,4,23,5.976023,7.76235,-17.010111,1.547499,4.571391,-4.580045,7.788184,-14.680645,1.642623,4.872052,2.948346,8.243516,-3.784192,5.963419,1.714841,-9.089492,0.399159,4
5147,4,26,4.763167,3.075086,-5.383399,-12.855898,-1.669621,-8.396055,0.173338,-6.456442,3.780728,-6.204547,-4.524652,-0.862689,-3.783494,-6.3848,1.627861,-7.131912,0.378919,1
6056,4,47,-2.652651,-6.441663,2.900605,-22.262369,1.481697,-9.551924,-13.569244,8.467261,7.908306,-3.07106,-14.370404,-14.005974,6.742135,-21.368083,-13.54902,5.542261,1.675449,2
6056,4,19,2.329169,5.874846,-5.913444,2.856581,7.432131,5.784646,9.989983,-14.906154,5.505364,8.086792,9.595484,6.368503,-1.260834,-4.88707,4.372543,-8.329675,6.081307,4
6056,4,23,1.78568,-0.361099,-2.210292,-12.654914,1.481697,-6.641126,-6.088084,-3.42267,7.908306,-3.07106,-6.768978,-9.511602,4.05657,-21.282199,-1.773335,-5.437276,0.093527,1
6056,4,11,2.329168,5.872459,-3.805604,-3.38409,1.482293,-3.739624,4.305958,-5.193722,5.505487,8.04422,3.865435,0.447113,-1.003285,-8.802483,0.947574,-8.321392,5.356482,3
6882,4,37,3.182536,6.799388,-7.027358,9.810149,7.787417,3.532273,9.421517,-13.286549,-4.952403,7.76739,10.575288,7.34463,-10.068749,3.625885,7.862831,-8.342044,1.520042,4
6882,4,23,2.236647,1.88829,-4.504203,-12.959156,2.33501,-11.526032,-7.592577,-6.800832,1.619891,-2.15433,-5.310965,-5.281217,-10.068749,-14.723286,3.224192,3.460215,0.418476,1
6882,4,21,-5.166914,0.682998,1.4371,-18.829335,2.33501,-13.258989,-15.047428,1.193411,1.619891,-2.15433,-13.224167,-11.335258,-3.478181,-15.577051,0.424572,4.848404,3.616672,2
6882,4,19,1.184077,0.916745,-3.442464,-13.133761,2.33501,-11.997238,-11.091045,0.74682,1.619891,-2.154329,-8.569227,-6.215068,-3.500251,-15.390574,2.4394,4.70112,4.223636,3
7345,4,43,-0.338955,-8.034269,3.956358,-24.225877,2.685118,-7.098657,-16.251285,6.95246,8.102215,-4.951542,-6.369458,-9.697308,6.601157,-17.622022,-7.268797,6.133524,-0.284035,2
7345,4,24,2.02658,-1.804539,1.895891,-13.628233,2.685345,-3.170196,-7.751748,-4.162941,8.102214,-4.592889,-4.122897,-8.604256,-2.217498,-13.39603,0.245172,-2.936374,-4.291543,1
7345,4,30,2.665833,4.367502,-2.409298,6.317677,4.672035,9.299334,7.460959,-19.535705,2.519852,7.100635,9.07757,7.761095,-2.219176,4.545764,4.63206,-9.360366,2.340908,4
7345,4,3,2.665832,4.36749,-2.469507,-4.244473,2.824605,-4.39365,1.103704,-7.223572,2.519852,7.100631,8.489992,3.538804,-2.219176,-11.08533,1.272221,-9.360363,2.339764,3
7360,4,38,-0.960951,-3.630168,2.865648,-22.712291,3.040067,-14.895548,-19.792921,6.31433,9.0661,-4.179705,-19.501664,-13.812899,7.738599,-17.374417,-10.470151,7.801867,0.76668,2
7360,4,28,2.154736,1.640197,-3.630618,-14.154712,3.040067,-10.688595,-7.016197,-3.904707,9.0661,-4.179705,-3.614607,-7.716379,3.14618,-14.274714,1.300157,-3.850581,-5.317616,1
7360,4,32,3.039136,7.241644,-12.819683,5.665628,8.277659,3.630677,8.573815,-18.150388,3.439554,8.161253,8.645547,5.335714,3.146154,4.854696,5.617575,-4.61337,-0.346963,4
7360,4,2,3.039115,7.133322,-12.384851,-3.525175,3.040583,-4.155443,3.76527,-5.14745,3.993562,8.161131,3.28966,1.443217,3.146154,-3.973116,1.970667,-4.491094,-0.80113,3
7766,4,20,4.04177,0.928696,0.86611,-14.212676,-3.365959,-6.937802,-12.045744,-1.936732,7.910089,-5.607179,-6.051093,-9.100671,-1.577489,-13.902068,0.177444,6.708604,-2.926935,1
7766,4,64,-3.120022,-4.656916,6.32574,-25.612472,-3.365959,-11.584988,-17.337619,6.84074,7.914438,-5.607941,-13.026851,-16.628282,5.316871,-14.475732,-9.198449,6.724182,-0.758189,2
7766,4,14,4.942612,4.534004,-6.844218,10.156553,2.436226,9.852662,8.981917,-15.817895,3.574231,6.084678,10.77019,7.905109,-4.118721,7.506129,3.110433,-3.151068,-1.059089,4
7766,4,2,4.942601,4.533852,-6.345786,-1.655924,-0.272077,-1.03733,3.731551,-3.369552,3.761457,6.084475,8.887586,1.956526,-4.003083,-3.916116,1.136125,5.144763,1.342717,3
7897,4,21,2.470186,1.298636,-7.306018,-14.620452,-1.071278,-9.096387,-7.738212,-5.245099,1.198718,-4.919361,-0.837556,-7.227924,-7.284295,-12.919851,0.479608,-1.172823,-2.201699,1
7897,4,39,-1.793931,-4.766177,2.20216,-26.502377,-1.071278,-9.883793,-12.653439,7.444813,2.570953,-5.833522,-9.52657,-8.8162,-2.006952,-14.427453,-9.078947,5.17361,4.064472,2
7897,4,24,3.237807,6.313231,-13.790698,8.626599,5.548375,5.304368,6.283444,-19.359814,-3.669417,5.802783,10.984039,7.129607,-7.831563,6.303875,4.7359,-10.424682,0.855115,4
7897,4,16,3.237638,6.30994,-18.092552,-8.794085,-1.071278,-6.9565,-0.311986,-2.057596,-3.48183,5.801347,7.383873,2.101007,-5.528247,-9.263951,2.667644,-4.888274,0.812464,3
8305,4,57,-0.563149,-4.365652,1.257503,-21.503099,2.835289,-9.002149,-14.188362,7.388508,4.37272,-7.440434,-18.929113,-10.427417,-2.057864,-14.010296,-13.243319,5.325057,2.611622,2
8305,4,17,5.970212,7.077554,-11.972105,10.311217,7.602191,2.508519,5.61437,-9.634271,1.054364,-1.447734,7.690016,7.12137,-5.433178,7.503662,3.266152,-13.061653,1.769314,4
8305,4,25,4.752043,0.124457,-0.215627,-18.291335,2.835289,-3.742552,-10.063413,0.384145,4.37272,-7.440434,-15.017438,-5.036335,-2.390668,-13.637826,-4.479939,-3.104405,2.240004,1
8305,4,1,5.895405,1.695765,-3.464604,-1.916723,3.932735,3.254586,-2.6101,-3.834534,4.37272,-7.440434,-4.425056,-0.137373,-4.162128,-8.702172,1.422758,-6.897559,3.880285,3
8580,4,25,3.520588,5.92895,-9.356944,-13.93896,1.036386,-8.98771,-1.22448,-4.689389,1.161729,4.143187,-0.996135,-2.67465,-4.136399,-11.100587,2.344469,-6.6398,-4.64792,1
8580,4,13,0.480835,-0.538162,1.532373,-17.986641,1.036386,-11.658263,-10.183336,5.594047,4.099358,-4.524919,-9.472392,-13.739386,3.611448,-16.259371,-6.676647,5.462673,1.092982,2
8580,4,58,3.524095,8.008093,-14.286344,10.465705,7.159519,3.716095,7.633933,-16.528283,0.792232,6.20958,8.739168,5.904638,-4.499396,6.388684,4.755521,-13.390961,1.489054,4
8580,4,4,3.524047,7.857951,-11.580673,-5.320175,1.036484,-3.345017,4.194209,-8.050646,0.792274,6.179392,2.337766,1.804269,-4.458729,-3.234814,2.473813,-10.154397,1.398854,3
8974,4,27,3.503713,1.090846,0.722203,-11.308903,-0.05332,-6.844821,-8.185736,-2.411882,6.669466,-3.283305,-6.042386,-3.740859,-3.961259,-16.077484,-3.083427,-6.760708,-2.878145,1
8974,4,30,1.259527,-3.007583,4.724784,-17.251305,-0.05332,-11.706829,-12.47294,7.223832,6.669467,-3.283325,-8.90039,-13.466156,7.580859,-18.272837,-9.259564,6.05379,1.677688,2
8974,4,26,4.916573,6.292046,-10.69346,9.147528,6.346535,5.697127,9.418962,-20.324246,1.78471,6.402161,8.255913,6.971234,-3.969091,3.992001,4.615244,-11.530805,0.717532,4
